date,unfiltered_pnl,action,size,filtered_pnl,actual_range
2023-06-01,60,REDUCE,0.5,30.0,0.014532527856601547
2023-06-02,60,TRADE,1.0,60.0,0.011709474865656967
2023-06-05,120,TRADE,1.0,120.0,0.00757881760172217
2023-06-06,150,TRADE,1.0,150.0,0.005909152631258523
2023-06-07,120,TRADE,1.0,120.0,0.008220801919042616
2023-06-08,120,TRADE,1.0,120.0,0.00865370874905428
2023-06-09,120,TRADE,1.0,120.0,0.007182546319525764
2023-06-12,120,TRADE,1.0,120.0,0.008300219110929602
2023-06-13,150,TRADE,1.0,150.0,0.00598721227033883
2023-06-14,60,SKIP,0.0,0.0,0.012360608205135102
2023-06-15,-200,TRADE,1.0,-200.0,0.017547356099080588
2023-06-16,120,TRADE,1.0,120.0,0.00923901417489516
2023-06-20,120,REDUCE,0.5,60.0,0.007497537595738059
2023-06-21,150,TRADE,1.0,150.0,0.005954324305195633
2023-06-22,150,TRADE,1.0,150.0,0.006986729117876726
2023-06-23,150,TRADE,1.0,150.0,0.005789852026907547
2023-06-26,120,TRADE,1.0,120.0,0.007820771305732886
2023-06-27,60,TRADE,1.0,60.0,0.011394027703487854
2023-06-28,150,TRADE,1.0,150.0,0.0068987150484948094
2023-06-29,150,TRADE,1.0,150.0,0.006038939962605219
2023-06-30,120,TRADE,1.0,120.0,0.008149347419071817
2023-07-03,150,TRADE,1.0,150.0,0.003183926228182145
2023-07-05,150,TRADE,1.0,150.0,0.003928375251010961
2023-07-06,120,TRADE,1.0,120.0,0.008494964523291558
2023-07-07,120,TRADE,1.0,120.0,0.00976038360419038
2023-07-10,150,TRADE,1.0,150.0,0.005161313813796795
2023-07-11,120,TRADE,1.0,120.0,0.007967297392170917
2023-07-12,150,TRADE,1.0,150.0,0.005620354142745039
2023-07-13,150,TRADE,1.0,150.0,0.006238450406323152
2023-07-14,150,TRADE,1.0,150.0,0.0062463867310797215
2023-07-17,150,TRADE,1.0,150.0,0.006198906153662063
2023-07-18,60,TRADE,1.0,60.0,0.010551154633794664
2023-07-19,150,TRADE,1.0,150.0,0.004590402443540401
2023-07-20,120,TRADE,1.0,120.0,0.00816357001392053
2023-07-21,150,TRADE,1.0,150.0,0.004221829562037387
2023-07-24,150,TRADE,1.0,150.0,0.0048686113232630016
2023-07-25,150,TRADE,1.0,150.0,0.006190740671629465
2023-07-26,120,TRADE,1.0,120.0,0.007653061224489868
2023-07-27,-200,TRADE,1.0,-200.0,0.017073849673572027
2023-07-28,150,TRADE,1.0,150.0,0.0057274270382740265
2023-07-31,150,TRADE,1.0,150.0,0.004597781374186975
2023-08-01,150,TRADE,1.0,150.0,0.0037323945199974986
2023-08-02,120,TRADE,1.0,120.0,0.009927641163454567
2023-08-03,120,TRADE,1.0,120.0,0.007554063285027338
2023-08-04,60,TRADE,1.0,60.0,0.01457478577568254
2023-08-07,150,TRADE,1.0,150.0,0.00638750729142095
2023-08-08,120,TRADE,1.0,120.0,0.008652676838527105
2023-08-09,120,TRADE,1.0,120.0,0.009132369373351892
2023-08-10,-200,TRADE,1.0,-200.0,0.015477495787981669
2023-08-11,120,TRADE,1.0,120.0,0.007246067463696641
2023-08-14,120,TRADE,1.0,120.0,0.00827476991474011
2023-08-15,60,TRADE,1.0,60.0,0.010422271689064495
2023-08-16,60,TRADE,1.0,60.0,0.010465087430843508
2023-08-17,60,TRADE,1.0,60.0,0.012757227737120532
2023-08-18,60,REDUCE,0.5,30.0,0.010704553405387332
2023-08-21,60,TRADE,1.0,60.0,0.010786981654140831
2023-08-22,120,TRADE,1.0,120.0,0.008112643902041231
2023-08-23,60,TRADE,1.0,60.0,0.010631328984360231
2023-08-24,-200,TRADE,1.0,-200.0,0.018573968162759587
2023-08-25,60,TRADE,1.0,60.0,0.014163731552064317
2023-08-28,150,TRADE,1.0,150.0,0.005553509578561564
2023-08-29,-200,TRADE,1.0,-200.0,0.015444137386498231
2023-08-30,150,TRADE,1.0,150.0,0.00623508446028511
2023-08-31,150,TRADE,1.0,150.0,0.005505854536518602
2023-09-01,120,TRADE,1.0,120.0,0.008806780558866294
2023-09-05,150,TRADE,1.0,150.0,0.0040531611552839086
2023-09-06,60,TRADE,1.0,60.0,0.01068290890465114
2023-09-07,150,TRADE,1.0,150.0,0.0061674803531362515
2023-09-08,150,TRADE,1.0,150.0,0.005650034821288081
2023-09-11,150,TRADE,1.0,150.0,0.0051060259139742
2023-09-12,150,TRADE,1.0,150.0,0.006769097327011278
2023-09-13,150,TRADE,1.0,150.0,0.005797004022273737
2023-09-14,120,TRADE,1.0,120.0,0.007420149829091485
2023-09-15,60,TRADE,1.0,60.0,0.01128728896082231
2023-09-18,150,TRADE,1.0,150.0,0.005455408503238376
2023-09-19,120,TRADE,1.0,120.0,0.0074773755401640555
2023-09-20,60,TRADE,1.0,60.0,0.013396035312532901
2023-09-21,60,REDUCE,0.5,30.0,0.010636984610320081
2023-09-22,120,SKIP,0.0,0.0,0.009422489600943367
2023-09-25,120,TRADE,1.0,120.0,0.008307389656244439
2023-09-26,60,TRADE,1.0,60.0,0.010904546382000115
2023-09-27,60,TRADE,1.0,60.0,0.01247831355965834
2023-09-28,60,REDUCE,0.5,30.0,0.012387432225123916
2023-09-29,60,REDUCE,0.5,30.0,0.013467554491726305
2023-10-02,120,TRADE,1.0,120.0,0.00942229234546691
2023-10-03,-200,REDUCE,0.5,-100.0,0.015153112008899777
2023-10-04,60,SKIP,0.0,0.0,0.011341976413790927
2023-10-05,120,REDUCE,0.5,60.0,0.009677623840481264
2023-10-06,-600,REDUCE,0.5,-300.0,0.024688355266731098
2023-10-09,60,TRADE,1.0,60.0,0.013508913458085902
2023-10-10,60,TRADE,1.0,60.0,0.010558211878564367
2023-10-11,120,TRADE,1.0,120.0,0.007626088091623024
2023-10-12,60,TRADE,1.0,60.0,0.0137915607152803
2023-10-13,60,TRADE,1.0,60.0,0.014936394762973912
2023-10-16,120,TRADE,1.0,120.0,0.009432637016191627
2023-10-17,60,TRADE,1.0,60.0,0.012894599365280953
2023-10-18,60,TRADE,1.0,60.0,0.013852456194705421
2023-10-19,-200,REDUCE,0.5,-100.0,0.016163892848547766
2023-10-20,60,SKIP,0.0,0.0,0.012525006726955942
2023-10-23,-200,SKIP,0.0,0.0,0.015822724681740428
2023-10-24,120,REDUCE,0.5,60.0,0.009431534613377862
2023-10-25,60,TRADE,1.0,60.0,0.012049843824573175
2023-10-26,60,TRADE,1.0,60.0,0.013338154545389412
2023-10-27,60,TRADE,1.0,60.0,0.012742810497648664
2023-10-30,60,REDUCE,0.5,30.0,0.010757623707841169
2023-10-31,60,SKIP,0.0,0.0,0.010171815703864304
2023-11-01,60,SKIP,0.0,0.0,0.011401314364466111
2023-11-02,60,TRADE,1.0,60.0,0.012056435174989348
2023-11-03,120,TRADE,1.0,120.0,0.009088119458358308
2023-11-06,150,TRADE,1.0,150.0,0.0056550121784399885
2023-11-07,120,TRADE,1.0,120.0,0.007065624420263882
2023-11-08,120,TRADE,1.0,120.0,0.00717092763612551
2023-11-09,60,TRADE,1.0,60.0,0.011262897338212565
2023-11-10,60,TRADE,1.0,60.0,0.014823046870524525
2023-11-13,150,TRADE,1.0,150.0,0.00634040293555675
2023-11-14,60,TRADE,1.0,60.0,0.011146071850673994
2023-11-15,150,TRADE,1.0,150.0,0.0057399063325416005
2023-11-16,150,TRADE,1.0,150.0,0.005372374963309493
2023-11-17,150,TRADE,1.0,150.0,0.0045370380636648965
2023-11-20,60,TRADE,1.0,60.0,0.010361947824545073
2023-11-21,150,TRADE,1.0,150.0,0.0036639882611368517
2023-11-22,150,TRADE,1.0,150.0,0.0051350306608332254
2023-11-24,150,TRADE,1.0,150.0,0.0016484336587764756
2023-11-27,150,TRADE,1.0,150.0,0.003117549167263259
2023-11-28,150,TRADE,1.0,150.0,0.00607847235208063
2023-11-29,120,TRADE,1.0,120.0,0.008856390424861913
2023-11-30,120,TRADE,1.0,120.0,0.0071681518901748125
2023-12-01,120,TRADE,1.0,120.0,0.009799470547853633
2023-12-04,150,TRADE,1.0,150.0,0.005619614536069521
2023-12-05,150,TRADE,1.0,150.0,0.005898293927258788
2023-12-06,120,TRADE,1.0,120.0,0.009646267195496036
2023-12-07,150,TRADE,1.0,150.0,0.005625060190332736
2023-12-08,120,TRADE,1.0,120.0,0.007685415847209292
2023-12-11,150,TRADE,1.0,150.0,0.0066007893951960765
2023-12-12,120,TRADE,1.0,120.0,0.0077604313275447985
2023-12-13,60,TRADE,1.0,60.0,0.014304162541431716
2023-12-14,120,TRADE,1.0,120.0,0.009368698422381416
2023-12-15,150,TRADE,1.0,150.0,0.004420658304749693
2023-12-18,150,TRADE,1.0,150.0,0.005066044802966093
2023-12-19,150,TRADE,1.0,150.0,0.0052638014048045296
2023-12-20,-200,TRADE,1.0,-200.0,0.01682991481154242
2023-12-21,120,TRADE,1.0,120.0,0.008543082664273293
2023-12-22,120,TRADE,1.0,120.0,0.007608457862143066
2023-12-26,150,TRADE,1.0,150.0,0.005520229634828602
2023-12-27,150,TRADE,1.0,150.0,0.003454524505336956
2023-12-28,150,TRADE,1.0,150.0,0.002573938041634413
2023-12-29,120,TRADE,1.0,120.0,0.007618840531228153
2024-01-02,150,TRADE,1.0,150.0,0.0066720053949253675
2024-01-03,150,TRADE,1.0,150.0,0.006260224716247575
2024-01-04,120,TRADE,1.0,120.0,0.008355650548599018
2024-01-05,120,TRADE,1.0,120.0,0.008395568129246576
2024-01-08,60,TRADE,1.0,60.0,0.013759380912898411
2024-01-09,120,TRADE,1.0,120.0,0.007406267068472096
2024-01-10,120,TRADE,1.0,120.0,0.0072689991890654854
2024-01-11,60,TRADE,1.0,60.0,0.01229515893767491
2024-01-12,150,TRADE,1.0,150.0,0.00697531714525442
2024-01-16,120,TRADE,1.0,120.0,0.007380011943801325
2024-01-17,150,TRADE,1.0,150.0,0.0062057803858513805
2024-01-18,120,TRADE,1.0,120.0,0.009499800424360886
2024-01-19,60,TRADE,1.0,60.0,0.01171741432943861
2024-01-22,150,TRADE,1.0,150.0,0.005019141141710314
2024-01-23,150,TRADE,1.0,150.0,0.004552380168011792
2024-01-24,120,TRADE,1.0,120.0,0.007720064804359707
2024-01-25,150,TRADE,1.0,150.0,0.005895642422431577
2024-01-26,150,TRADE,1.0,150.0,0.0051586140878026685
2024-01-29,120,TRADE,1.0,120.0,0.008565384890505885
2024-01-30,150,TRADE,1.0,150.0,0.003008593370944075
2024-01-31,60,TRADE,1.0,60.0,0.012573507049124522
2024-02-01,60,TRADE,1.0,60.0,0.010995431084669926
2024-02-02,60,TRADE,1.0,60.0,0.01368982477837947
2024-02-05,120,TRADE,1.0,120.0,0.007887533058042854
2024-02-06,150,TRADE,1.0,150.0,0.004624092958611505
2024-02-07,150,TRADE,1.0,150.0,0.0062014256844391555
2024-02-08,150,TRADE,1.0,150.0,0.002664579312774664
2024-02-09,150,TRADE,1.0,150.0,0.005939046834939711
2024-02-12,150,TRADE,1.0,150.0,0.00627831058539883
2024-02-13,60,TRADE,1.0,60.0,0.010263811559720887
2024-02-14,120,TRADE,1.0,120.0,0.009257621914461065
2024-02-15,150,TRADE,1.0,150.0,0.0066518226553725565
2024-02-16,120,TRADE,1.0,120.0,0.007787514932033038
2024-02-20,120,TRADE,1.0,120.0,0.007754563748166003
2024-02-21,120,TRADE,1.0,120.0,0.00749743604209526
2024-02-22,60,TRADE,1.0,60.0,0.011026369216663471
2024-02-23,150,TRADE,1.0,150.0,0.00580287477553076
2024-02-26,150,TRADE,1.0,150.0,0.005645002945218928
2024-02-27,150,TRADE,1.0,150.0,0.004611200882828131
2024-02-28,150,TRADE,1.0,150.0,0.0037535522576569954
2024-02-29,120,TRADE,1.0,120.0,0.008475309515943701
2024-03-01,120,TRADE,1.0,120.0,0.009055586828308676
2024-03-04,150,TRADE,1.0,150.0,0.0043831697196836834
2024-03-05,60,TRADE,1.0,60.0,0.011294349694356005
2024-03-06,150,TRADE,1.0,150.0,0.006998784267124508
2024-03-07,120,TRADE,1.0,120.0,0.00728901601206455
2024-03-08,60,TRADE,1.0,60.0,0.013894966753542523
2024-03-11,150,TRADE,1.0,150.0,0.006557171808856002
2024-03-12,60,TRADE,1.0,60.0,0.012735913366963428
2024-03-13,150,TRADE,1.0,150.0,0.005269170327960471
2024-03-14,60,TRADE,1.0,60.0,0.010347546153340813
2024-03-15,150,TRADE,1.0,150.0,0.006345507103805803
2024-03-18,150,TRADE,1.0,150.0,0.005845071652081491
2024-03-19,120,TRADE,1.0,120.0,0.009480277636702268
2024-03-20,60,TRADE,1.0,60.0,0.010544822249111664
2024-03-21,150,TRADE,1.0,150.0,0.0038907913496516577
2024-03-22,150,TRADE,1.0,150.0,0.0030939555324961195
2024-03-25,150,TRADE,1.0,150.0,0.002490650481270308
2024-03-26,150,TRADE,1.0,150.0,0.006070168392667562
2024-03-27,150,TRADE,1.0,150.0,0.006761941025312341
2024-03-28,150,TRADE,1.0,150.0,0.003626122564086077
2024-04-01,150,TRADE,1.0,150.0,0.006609014505598168
2024-04-02,150,TRADE,1.0,150.0,0.0046673033209140855
2024-04-03,150,TRADE,1.0,150.0,0.006618704481967998
2024-04-04,-600,TRADE,1.0,-600.0,0.021077220850296955
2024-04-05,60,TRADE,1.0,60.0,0.012593647932234322
2024-04-08,150,TRADE,1.0,150.0,0.004263754060832247
2024-04-09,60,TRADE,1.0,60.0,0.012273266590378177
2024-04-10,120,REDUCE,0.5,60.0,0.0076878720094120745
2024-04-11,60,TRADE,1.0,60.0,0.0141138035357
2024-04-12,60,TRADE,1.0,60.0,0.01297300014889271
2024-04-15,-600,REDUCE,0.5,-300.0,0.022517947751991882
2024-04-16,120,SKIP,0.0,0.0,0.007899948465719875
2024-04-17,60,SKIP,0.0,0.0,0.013949579500371878
2024-04-18,60,TRADE,1.0,60.0,0.010885378573472732
2024-04-19,60,REDUCE,0.5,30.0,0.013077771384733419
2024-04-22,60,REDUCE,0.5,30.0,0.01392328159556326
2024-04-23,120,TRADE,1.0,120.0,0.009576742197520279
2024-04-24,120,TRADE,1.0,120.0,0.008350279063730197
2024-04-25,60,TRADE,1.0,60.0,0.013380797947361306
2024-04-26,120,TRADE,1.0,120.0,0.008157886973537917
2024-04-29,150,TRADE,1.0,150.0,0.006812497922422806
2024-04-30,60,TRADE,1.0,60.0,0.014796876040895088
2024-05-01,-200,SKIP,0.0,0.0,0.016438557733797588
2024-05-02,60,REDUCE,0.5,30.0,0.012310568551804967
2024-05-03,120,TRADE,1.0,120.0,0.007398326689805074
2024-05-06,120,TRADE,1.0,120.0,0.007502304362537468
2024-05-07,150,TRADE,1.0,150.0,0.004100478099938219
2024-05-08,150,TRADE,1.0,150.0,0.005047417478883677
2024-05-09,150,TRADE,1.0,150.0,0.0067238000165734885
2024-05-10,150,TRADE,1.0,150.0,0.005737261003274251
2024-05-13,150,TRADE,1.0,150.0,0.004987502579742783
2024-05-14,150,TRADE,1.0,150.0,0.0062036735553811125
2024-05-15,120,TRADE,1.0,120.0,0.00921482123246809
2024-05-16,150,TRADE,1.0,150.0,0.005517818032530679
2024-05-17,150,TRADE,1.0,150.0,0.004122117252173195
2024-05-20,150,TRADE,1.0,150.0,0.004320167378212572
2024-05-21,150,TRADE,1.0,150.0,0.004991799859965354
2024-05-22,150,TRADE,1.0,150.0,0.006987787820908107
2024-05-23,-200,TRADE,1.0,-200.0,0.015907465179597964
2024-05-24,150,TRADE,1.0,150.0,0.0062975129935906446
2024-05-28,150,TRADE,1.0,150.0,0.006587771425776495
2024-05-29,150,TRADE,1.0,150.0,0.0037073311194170985
2024-05-30,120,TRADE,1.0,120.0,0.007245563969527122
2024-05-31,-200,TRADE,1.0,-200.0,0.016907581424356385
2024-06-03,60,TRADE,1.0,60.0,0.012797447684132027
2024-06-04,120,TRADE,1.0,120.0,0.007799948467671056
2024-06-05,60,TRADE,1.0,60.0,0.01063509506104069
2024-06-06,150,TRADE,1.0,150.0,0.005037515398111294
2024-06-07,120,TRADE,1.0,120.0,0.008187042578235378
2024-06-10,150,TRADE,1.0,150.0,0.006416137137208264
2024-06-11,120,TRADE,1.0,120.0,0.00909770222305246
2024-06-12,120,TRADE,1.0,120.0,0.007047344027597763
2024-06-13,120,TRADE,1.0,120.0,0.007243753594772456
2024-06-14,150,TRADE,1.0,150.0,0.0052801581097624535
2024-06-17,60,TRADE,1.0,60.0,0.012538873269000328
2024-06-18,150,TRADE,1.0,150.0,0.0034805474649161183
2024-06-20,120,TRADE,1.0,120.0,0.009085471064492727
2024-06-21,150,TRADE,1.0,150.0,0.004807226204870637
2024-06-24,120,TRADE,1.0,120.0,0.007888885225603381
2024-06-25,150,TRADE,1.0,150.0,0.004819868405872422
2024-06-26,150,TRADE,1.0,150.0,0.005726361590342728
2024-06-27,150,TRADE,1.0,150.0,0.004251323171812363
2024-06-28,60,TRADE,1.0,60.0,0.013213130046934751
2024-07-01,150,TRADE,1.0,150.0,0.0060353714440294125
2024-07-02,120,TRADE,1.0,120.0,0.009385115638685737
2024-07-03,150,TRADE,1.0,150.0,0.005783086152550071
2024-07-05,150,TRADE,1.0,150.0,0.006988195907842457
2024-07-08,150,TRADE,1.0,150.0,0.0036965591494324086
2024-07-09,150,TRADE,1.0,150.0,0.002897439938111595
2024-07-10,120,TRADE,1.0,120.0,0.008754735068660861
2024-07-11,60,TRADE,1.0,60.0,0.01169787816248198
2024-07-12,60,TRADE,1.0,60.0,0.011647790282537759
2024-07-15,120,TRADE,1.0,120.0,0.00925656597187728
2024-07-16,150,TRADE,1.0,150.0,0.005430459117413017
2024-07-17,150,TRADE,1.0,150.0,0.006716493733589667
2024-07-18,-200,TRADE,1.0,-200.0,0.016267990357596206
2024-07-19,60,TRADE,1.0,60.0,0.010906722805802254
2024-07-22,120,TRADE,1.0,120.0,0.007452376572267439
2024-07-23,150,TRADE,1.0,150.0,0.006188345641744471
2024-07-24,-200,TRADE,1.0,-200.0,0.015993926449006945
2024-07-25,-200,TRADE,1.0,-200.0,0.01853850829848773
2024-07-26,60,SKIP,0.0,0.0,0.010604250902244688
2024-07-29,120,TRADE,1.0,120.0,0.007906437446932865
2024-07-30,-200,REDUCE,0.5,-100.0,0.016018310812907412
2024-07-31,60,SKIP,0.0,0.0,0.010491155353013976
2024-08-01,-600,TRADE,1.0,-600.0,0.0281228782341129
2024-08-02,-200,SKIP,0.0,0.0,0.015225150326505744
2024-08-05,-600,SKIP,0.0,0.0,0.025553566783275177
2024-08-06,-600,SKIP,0.0,0.0,0.022814141002838753
2024-08-07,-600,SKIP,0.0,0.0,0.02552365046768176
2024-08-08,-200,SKIP,0.0,0.0,0.017930270324812307
2024-08-09,60,SKIP,0.0,0.0,0.01088122288161424
2024-08-12,120,TRADE,1.0,120.0,0.008750196192739734
2024-08-13,60,REDUCE,0.5,30.0,0.011069410710101292
2024-08-14,120,REDUCE,0.5,60.0,0.008692919983242639
2024-08-15,120,TRADE,1.0,120.0,0.008198315618790948
2024-08-16,150,TRADE,1.0,150.0,0.00665581773799828
2024-08-19,60,TRADE,1.0,60.0,0.01035767819579186
2024-08-20,150,TRADE,1.0,150.0,0.006248572162887696
2024-08-21,120,TRADE,1.0,120.0,0.007337022964114548
2024-08-22,60,TRADE,1.0,60.0,0.014592649221234714
2024-08-23,60,SKIP,0.0,0.0,0.010113360309433815
2024-08-26,120,REDUCE,0.5,60.0,0.008738115418305313
2024-08-27,150,TRADE,1.0,150.0,0.006728670382606249
2024-08-28,60,TRADE,1.0,60.0,0.011748578987325104
2024-08-29,60,REDUCE,0.5,30.0,0.01127815526189071
2024-08-30,60,TRADE,1.0,60.0,0.012396797286173942
2024-09-03,-600,TRADE,1.0,-600.0,0.021259306280883943
2024-09-04,120,REDUCE,0.5,60.0,0.008958210754937626
2024-09-05,60,SKIP,0.0,0.0,0.011912870827959054
2024-09-06,-600,SKIP,0.0,0.0,0.021761906404737026
2024-09-09,120,REDUCE,0.5,60.0,0.009134391876620485
2024-09-10,60,TRADE,1.0,60.0,0.010234021976100507
2024-09-11,-600,SKIP,0.0,0.0,0.02791817219208136
2024-09-12,60,SKIP,0.0,0.0,0.011733735434045654
2024-09-13,150,TRADE,1.0,150.0,0.006178457848354874
2024-09-16,150,TRADE,1.0,150.0,0.005613325236277973
2024-09-17,60,TRADE,1.0,60.0,0.010036230154309728
2024-09-18,60,SKIP,0.0,0.0,0.013235419236823085
2024-09-19,120,TRADE,1.0,120.0,0.008268114887341391
2024-09-20,120,TRADE,1.0,120.0,0.00711953818454413
2024-09-23,150,TRADE,1.0,150.0,0.003701045186365206
2024-09-24,150,TRADE,1.0,150.0,0.0063429044321764785
2024-09-25,150,TRADE,1.0,150.0,0.005052627907179431
2024-09-26,120,TRADE,1.0,120.0,0.008045510237373732
2024-09-27,150,TRADE,1.0,150.0,0.006331489255233314
2024-09-30,60,TRADE,1.0,60.0,0.010758715589922078
2024-10-01,60,TRADE,1.0,60.0,0.013277802189404475
2024-10-02,120,TRADE,1.0,120.0,0.008007876254356703
2024-10-03,120,TRADE,1.0,120.0,0.007267219941770958
2024-10-04,120,TRADE,1.0,120.0,0.008780858495367324
2024-10-07,120,TRADE,1.0,120.0,0.00914810554567949
2024-10-08,120,REDUCE,0.5,60.0,0.007525606996856164
2024-10-09,120,TRADE,1.0,120.0,0.009002399248930724
2024-10-10,150,SKIP,0.0,0.0,0.005238510580856771
2024-10-11,120,TRADE,1.0,120.0,0.008145327605284067
2024-10-14,120,TRADE,1.0,120.0,0.007176906279964552
2024-10-15,60,TRADE,1.0,60.0,0.011229405086981887
2024-10-16,150,TRADE,1.0,150.0,0.006563994649777066
2024-10-17,150,TRADE,1.0,150.0,0.006503143498047872
2024-10-18,150,TRADE,1.0,150.0,0.004447531585836916
2024-10-21,120,TRADE,1.0,120.0,0.007192095352878735
2024-10-22,120,TRADE,1.0,120.0,0.00717849366502647
